,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
153,5,10,85,0.02,0.05,0.02,177314.4684753417,0.22949991751998974,-51.468294326821585,40,77.31446847534171,2.08001860896585,5.277421195264584
154,5,10,85,0.02,0.1,0.01,156013.52714920044,0.2906358969051148,-26.176721852285915,38,56.013527149200435,1.6115159949251945,5.277421195264584
155,5,10,85,0.02,0.1,0.02,228504.67974090573,0.2874538503440708,-51.455509311534634,38,128.50467974090574,3.014877920692216,5.277421195264584
156,5,10,85,0.03,0.05,0.01,123710.1588306427,0.2349953154065915,-17.536475541958367,40,23.7101588306427,0.7677064547040313,5.277421195264584
157,5,10,85,0.03,0.05,0.02,149933.26225662226,0.23169142709058785,-34.70107821362042,40,49.93326225662226,1.466432818920027,5.277421195264584
158,5,10,85,0.03,0.1,0.01,135427.42946243286,0.2921570606300692,-17.523011951572684,38,35.42742946243286,1.0960063418508526,5.277421195264584
159,5,10,85,0.03,0.1,0.02,178535.28344345093,0.2894715486586076,-34.69758659708551,38,78.53528344345094,2.10519710276178,5.277421195264584
160,5,10,90,0.02,0.05,0.01,148719.9119167328,0.28595728039118484,-26.1522612902092,40,48.71991191673279,1.4368028624106133,2.2250748823277706
161,5,10,90,0.02,0.05,0.02,212467.2792968749,0.28003138768382163,-51.46707992671935,40,112.46727929687492,2.7457881020465313,2.2250748823277706
162,5,10,90,0.02,0.1,0.01,139568.2875843048,0.2131008187968174,-33.75754735602236,32,39.56828758430481,1.2055070457164474,2.2250748823277706
163,5,10,90,0.02,0.1,0.02,182106.27180862427,0.2191631510504158,-61.59465041352472,32,82.10627180862427,2.177904711397205,2.2250748823277706
164,5,10,90,0.03,0.05,0.01,130816.86124038696,0.28804973628982294,-17.5512245551866,40,30.816861240386963,0.9702204838899497,2.2250748823277706
165,5,10,90,0.03,0.05,0.02,168306.2866802215,0.2837802690313978,-34.6992417468735,40,68.30628668022149,1.888892454411084,2.2250748823277706
166,5,10,90,0.03,0.1,0.01,125779.70301818848,0.2123509349154961,-23.164981684084808,32,25.779703018188478,0.8278145826486671,2.2250748823277706
167,5,10,90,0.03,0.1,0.02,153788.01002311707,0.21448983474053715,-43.68756596776064,32,53.78801002311706,1.5590550379698254,2.2250748823277706
168,5,15,80,0.02,0.05,0.01,152630.39883422852,0.2677994100090297,-23.53415177702623,84,52.63039883422852,1.5314772024128898,11.624589930109828
169,5,15,80,0.02,0.05,0.02,217789.89858055112,0.2691328466190783,-46.672534736675345,84,117.78989858055111,2.837205144036381,11.624589930109828
170,5,15,80,0.02,0.1,0.01,153010.8172607422,0.2564663991184663,-23.51891228109722,80,53.01081726074218,1.540562110831556,11.624589930109828
171,5,15,80,0.02,0.1,0.02,218012.68740272522,0.2628028557632297,-46.668792219000125,80,118.01268740272522,2.8409844534299955,11.624589930109828
172,5,15,80,0.03,0.05,0.01,133415.91382980347,0.26738609466451907,-15.717443650480817,84,33.415913829803465,1.0416437687400748,11.624589930109828
173,5,15,80,0.03,0.05,0.02,173247.18816947937,0.2678593654073354,-31.299934933321545,84,73.24718816947937,1.9949108053597397,11.624589930109828
174,5,15,80,0.03,0.1,0.01,133714.1939353943,0.25464709320110496,-15.938063727308158,80,33.714193935394285,1.0497546871350627,11.624589930109828
